anchor_date,train_start,train_end,pred_start,pred_end,k
2021-12-07,2019-12-09,2021-12-07,2021-12-08,2022-01-06,3
2022-01-06,2020-01-09,2022-01-06,2022-01-07,2022-02-07,3
2022-02-07,2020-02-10,2022-02-07,2022-02-08,2022-03-09,3
2022-03-09,2020-03-11,2022-03-09,2022-03-10,2022-04-07,3
2022-04-07,2020-04-09,2022-04-07,2022-04-08,2022-05-09,3
2022-05-09,2020-05-11,2022-05-09,2022-05-10,2022-06-08,3
2022-06-08,2020-06-10,2022-06-08,2022-06-09,2022-07-11,3
2022-07-11,2020-07-10,2022-07-11,2022-07-12,2022-08-09,3
2022-08-09,2020-08-10,2022-08-09,2022-08-10,2022-09-08,3
2022-09-08,2020-09-09,2022-09-08,2022-09-09,2022-10-07,3
2022-10-07,2020-10-08,2022-10-07,2022-10-10,2022-11-07,3
2022-11-07,2020-11-06,2022-11-07,2022-11-08,2022-12-07,3
2022-12-07,2020-12-08,2022-12-07,2022-12-08,2023-01-09,3
2023-01-09,2021-01-08,2023-01-09,2023-01-10,2023-02-08,3
2023-02-08,2021-02-09,2023-02-08,2023-02-09,2023-03-10,3
2023-03-10,2021-03-11,2023-03-10,2023-03-13,2023-04-11,3
2023-04-11,2021-04-12,2023-04-11,2023-04-12,2023-05-10,3
2023-05-10,2021-05-11,2023-05-10,2023-05-11,2023-06-09,3
2023-06-09,2021-06-10,2023-06-09,2023-06-12,2023-07-12,3
2023-07-12,2021-07-12,2023-07-12,2023-07-13,2023-08-10,3
2023-08-10,2021-08-10,2023-08-10,2023-08-11,2023-09-11,3
2023-09-11,2021-09-09,2023-09-11,2023-09-12,2023-10-10,3
2023-10-10,2021-10-08,2023-10-10,2023-10-11,2023-11-08,3
2023-11-08,2021-11-08,2023-11-08,2023-11-09,2023-12-08,3
2023-12-08,2021-12-08,2023-12-08,2023-12-11,2024-01-10,3
2024-01-10,2022-01-07,2024-01-10,2024-01-11,2024-02-09,3
2024-02-09,2022-02-08,2024-02-09,2024-02-12,2024-03-12,3
2024-03-12,2022-03-10,2024-03-12,2024-03-13,2024-04-11,3
2024-04-11,2022-04-08,2024-04-11,2024-04-12,2024-05-10,3
2024-05-10,2022-05-10,2024-05-10,2024-05-13,2024-06-11,3
2024-06-11,2022-06-09,2024-06-11,2024-06-12,2024-07-12,3
2024-07-12,2022-07-12,2024-07-12,2024-07-15,2024-08-12,3
2024-08-12,2022-08-10,2024-08-12,2024-08-13,2024-09-11,3
2024-09-11,2022-09-09,2024-09-11,2024-09-12,2024-10-10,3
2024-10-10,2022-10-10,2024-10-10,2024-10-11,2024-11-08,3
2024-11-08,2022-11-08,2024-11-08,2024-11-11,2024-12-10,3
2024-12-10,2022-12-08,2024-12-10,2024-12-11,2024-12-31,3
